"year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay"
2024,12,"F9","Frontier Airlines","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",1007,356,62.54,4.12,119.22,0,170.12,4,0,24036,5074,302,4923,0,13737
2024,12,"F9","Frontier Airlines","AUS","Austin, TX: Austin - Bergstrom International",87,24,3.52,0,7.89,0,12.59,0,0,1727,241,0,443,0,1043
2024,12,"F9","Frontier Airlines","BDL","Hartford, CT: Bradley International",68,15,5.29,0,1.81,0,7.91,0,0,621,209,0,39,0,373
2024,12,"F9","Frontier Airlines","BNA","Nashville, TN: Nashville International",38,9,2.37,0,0.98,0,5.65,0,0,727,68,0,57,0,602
2024,12,"F9","Frontier Airlines","BOS","Boston, MA: Logan International",170,46,13.11,0.35,21.05,0,11.49,2,0,2528,636,27,642,0,1223
2024,12,"F9","Frontier Airlines","BQN","Aguadilla, PR: Rafael Hernandez",47,12,2.74,0,2.92,0,6.34,0,0,812,88,0,241,0,483
2024,12,"F9","Frontier Airlines","BTV","Burlington, VT: Burlington International",12,1,0.16,0,0,0,0.84,0,0,98,16,0,0,0,82
2024,12,"F9","Frontier Airlines","BUF","Buffalo, NY: Buffalo Niagara International",108,29,4.81,0.67,10.98,0,12.54,0,0,1665,340,29,372,0,924
2024,12,"F9","Frontier Airlines","BUR","Burbank, CA: Bob Hope",54,9,1.9,0,3.35,0,3.75,0,0,295,60,0,69,0,166
2024,12,"F9","Frontier Airlines","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",240,50,14.73,1,8.68,0,25.6,2,0,3652,861,29,383,0,2379
2024,12,"F9","Frontier Airlines","CHS","Charleston, SC: Charleston AFB/International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,"F9","Frontier Airlines","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",12,1,0.24,0,0.76,0,0,1,0,25,6,0,19,0,0
2024,12,"F9","Frontier Airlines","CLE","Cleveland, OH: Cleveland-Hopkins International",559,167,35.59,2.03,35.15,0,94.23,3,0,12542,1565,1012,1222,0,8743
